"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BSTZ","BlackRock Science and Technology Trust II","27.75","$2.17B","2019","n/a","n/a","https://old.nasdaq.com/symbol/bstz",
"BSD","BlackRock Strategic Municipal Trust Inc. (The)","13.33","$97.42M","1999","n/a","n/a","https://old.nasdaq.com/symbol/bsd",
"TCPC","BlackRock TCP Capital Corp.","9.7","$560.34M","2012","n/a","n/a","https://old.nasdaq.com/symbol/tcpc",
"BUI","BlackRock Utility, Infrastructure & Power Opportun","23.19","$411.42M","2011","n/a","n/a","https://old.nasdaq.com/symbol/bui",
"BHV","BlackRock Virginia Municipal Bond Trust","16.19","$26.03M","2002","n/a","n/a","https://old.nasdaq.com/symbol/bhv",
"BLK","BlackRock, Inc.","634.89","$96.82B","1999","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/blk",
"BGB","Blackstone / GSO Strategic Credit Fund","12.05","$538.21M","2012","n/a","n/a","https://old.nasdaq.com/symbol/bgb",
"BGX","Blackstone GSO Long Short Credit Income Fund","12.9","$163.93M","2011","n/a","n/a","https://old.nasdaq.com/symbol/bgx",
"BSL","Blackstone GSO Senior Floating Rate Term Fund","13.4","$196.49M","2010","n/a","n/a","https://old.nasdaq.com/symbol/bsl",
"BLNK","Blink Charging Co.","9.22","$292.71M","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/blnk",
"BLNKW","Blink Charging Co.","5.049","n/a","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/blnkw",
"BDR","Blonder Tongue Laboratories, Inc.","1.44","$14.06M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/bdr",
"BE","Bloom Energy Corporation","18.32","$2.51B","2018","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/be",
"BLMN","Bloomin&#39; Brands, Inc.","17.11","$1.5B","2012","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/blmn",
"BCOR","Blucora, Inc.","10.5","$504.4M","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/bcor",
"APRN","Blue Apron Holdings, Inc.","6.92","$93.7M","2017","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/aprn",
"BLBD","Blue Bird Corporation","12.09","$327.02M","2014","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/blbd",
"BHAT","Blue Hat Interactive Entertainment Technology","0.9422","$33.11M","2019","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/bhat",
"BRBS","Blue Ridge Bankshares, Inc.","13.63","$77.94M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/brbs",
"BLUE","bluebird bio, Inc.","54.55","$3.61B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/blue",
"BLCT","BlueCity Holdings Limited","9.71","$346.17M","2020","Technology","EDP Services","https://old.nasdaq.com/symbol/blct",
"BXG","Bluegreen Vacations Corporation","5.37","$389.24M","2017","Finance","Real Estate","https://old.nasdaq.com/symbol/bxg",
"BVH","Bluegreen Vacations Holding Corporation","9.35","$180.65M","2017","Finance","Real Estate","https://old.nasdaq.com/symbol/bvh",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","1.35","$55.62M","2011","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","5.92","n/a","n/a","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/bkepp",
"BXC","BlueLinx Holdings Inc.","25.86","$244.67M","2004","Capital Goods","Wholesale Distributors","https://old.nasdaq.com/symbol/bxc",
"BPMC","Blueprint Medicines Corporation","103.89","$5.74B","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bpmc",
"BRG","Bluerock Residential Growth REIT, Inc.","8.25","$203.74M","2014","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/brg",
"BRG^A","Bluerock Residential Growth REIT, Inc.","25.15","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^a",
"BRG^C","Bluerock Residential Growth REIT, Inc.","25.53","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^c",
"BRG^D","Bluerock Residential Growth REIT, Inc.","25.1312","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^d",
"ITEQ","BlueStar Israel Technology ETF","60.8573","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iteq",
"BMCH","BMC Stock Holdings, Inc.","42.78","$2.87B","2013","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/bmch",
"DCF","BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund","7.8","$116.71M","2017","n/a","n/a","https://old.nasdaq.com/symbol/dcf",
